id,date,type,city,state,ideology,group,description,image
1270,11/2016,Anti-Semitic Incident:Vandalism,Lakewood,NJ,,,Jewish institution defaced with swastika vandalism.,
1275,11/2016,Anti-Semitic Incident:Vandalism,Lancaster,PA,,,Swastika inside a Star of David drawn on whiteboard at Franklin and Marshall College.,
1286,11/2016,Anti-Semitic Incident:Harassment,Las Vegas,NV,,,Confidential,
1308,11/2016,Anti-Semitic Incident:Harassment,Leesburg,VA,,,Jewish student victim of anti-Semitic harassment.,
1322,11/2016,Anti-Semitic Incident:Vandalism,Hopewell Township,NJ,,,"Swastikas and letter ""A"" spray painted on tree stumps in county park",
1329,11/2016,Anti-Semitic Incident:Harassment,Little River,SC,,,Woman received Nationalist Socialist movement flyer in her mailbox seeking non-Semitic members and featuring swastikas.,
1334,11/2016,Anti-Semitic Incident:Vandalism,Livingston,NJ,,,School officials found swastika traced in wood chips of school playground.,
1340,11/2016,Anti-Semitic Incident:Harassment,Long Beach,CA,,,"Jewish student targeted with anti-Semitic harassment after substitute teacher fails to stop students doing the ""Heil Hitler"" and chanting ""Kill the Jews.""",
1352,11/2016,Anti-Semitic Incident:Vandalism,Howell Township,NJ,,,Swastika graffiti discovered in community building.,
1382,11/2016,Anti-Semitic Incident:Harassment,Los Angeles,CA,,,Actor received envelope with anti-Semitic literature.,
1406,11/2016,Anti-Semitic Incident:Vandalism,Los Angeles,CA,,,"Residential street vandalized with swastika graffiti and tags that read ""HITLER.""",
1483,11/2016,Anti-Semitic Incident:Vandalism,Rockaway,NJ,,,Swastika drawn in chalk at playground.,
1484,11/2016,Anti-Semitic Incident:Vandalism,Rockaway,NJ,,,Swastikas spray-painted in park across the street from synagogue.,
1486,11/2016,Anti-Semitic Incident:Vandalism,Rockaway Township,NJ,,,Two large swastikas drawn on slide in municipal park,
1487,11/2016,Anti-Semitic Incident:Vandalism,New York,NY,,,Several Jewish students at the New School had swastikas drawn on their dorm room doors.,
1488,11/2016,Anti-Semitic Incident:Vandalism,New York,NY,,,Local politician's apartment vandalized with swastika.,
1489,11/2016,Anti-Semitic Incident:Vandalism,New York,NY,,,School's mural vandalized with swastika.,
1492,11/2016,Anti-Semitic Incident:Vandalism,New York,NY,,,Street vandalized with graffiti of yellow Star of David.,
1507,11/2016,Anti-Semitic Incident:Harassment,Marietta,GA,,,Middle school student made anti-Semitic remarks and gave a Jewish student a piece of paper with a swastika drawing on it.,
1555,11/2016,Anti-Semitic Incident:Harassment,Miami,FL,,,Jewish organization received bulk hate mail.,
1556,11/2016,Anti-Semitic Incident:Harassment,Miami,FL,,,Jewish institution received prophetic ministry hate mail.,
1567,11/2016,Anti-Semitic Incident:Vandalism,Middlebury,VT,,,Jewish organization vandalized with images of swastikas.,
1571,11/2016,Anti-Semitic Incident:Harassment,Middletown,CT,,,"Jewish student heard individuals in a car chanting ""White Power"" as they drove past her.",
1596,11/2016,Anti-Semitic Incident:Harassment,Milwaukee,WI,,,Middle school students expressed support for Hitler during a mock election.,
1597,11/2016,Anti-Semitic Incident:Harassment,Milwaukee,WI,,,A high school student presented a Jewish student with a drawing of Hitler.,
1599,11/2016,Anti-Semitic Incident:Harassment,Milwaukee,WI,,,Caller on a local radio show relayed anti-Semitic messages.,
1600,11/2016,Anti-Semitic Incident:Harassment,Milwaukee,WI,,,Several synagogues and Jewish organizations received threatening letters.,
1601,11/2016,Anti-Semitic Incident:Vandalism,Milwaukee,WI,,,Jewish high school student's locker defaced with swastika graffiti.,
1609,11/2016,Anti-Semitic Incident:Harassment,Minneapolis,MN,,,Jewish high school student discovered swastikas drawn on his notebook by other students.,
1622,11/2016,Anti-Semitic Incident:Harassment,Minnetonka,MN,,,Anti-Semitic hate mail.,
1623,11/2016,Anti-Semitic Incident:Harassment,Minnetonka,MN,,,"High school students chanted ""Jews and Hispanics GO HOME!"" in aftermath of 2016 presidential election.",
1645,11/2016,Anti-Semitic Incident:Harassment,Montgomery Township,NJ,,,Synagogue received anti-Semitic hate literature.,
1683,11/2016,Anti-Semitic Incident:Harassment,Naples,FL,,,Synagogue received hate literature.,
1684,11/2016,Anti-Semitic Incident:Vandalism,Naples,FL,,,Mezuzah vandalized.,
