date,placename,state,state_fips,countyname,countyfips,venue,attendance
02dec2015,Manassas,Virginia,51,Manassas city,683,Prince William County Fairgrounds,
04dec2015,Raleigh,North Carolina,37,Wake,183,Dorton Arena,8000
05dec2015,Davenport,Iowa,19,Scott,163,Mississippi Valley Fairgrounds,1700
05dec2015,Spencer,Iowa,19,Clay,41,Clay County Regional Events Center,1300
07dec2015,Mount Pleasant,South Carolina,45,Charleston,19,USS Yorktown,
11dec2015,Des Moines,Iowa,19,Polk,153,"Varied Industries Building, Iowa State Fairgrounds",2500
12dec2015,Aiken,South Carolina,45,Aiken,3,USC Aiken Convocation Center,
14dec2015,Las Vegas,Nevada,32,Clark,3,Westgate Las Vegas Resort & Casino,
16dec2015,Mesa,Arizona,4,Maricopa,13,Phoenix–Mesa Gateway Airport,3100
19dec2015,Cedar Rapids,Iowa,19,Linn,113,Veterans Memorial Coliseum,1200
21dec2015,Grand Rapids,Michigan,26,Kent,81,DeltaPlex Arena,7000
28dec2015,Nashua,New Hampshire,33,Hillsborough,11,Pennichuck Middle School,1000
29dec2015,Council Bluffs,Iowa,19,Pottawattamie,155,Mid-America Center,
30dec2015,Hilton Head Island,South Carolina,45,Beaufort,13,The Westin Hilton Head Island Resort & Spa,2500
02jan2016,Biloxi,Mississippi,28,Harrison,47,Mississippi Coast Coliseum,15000
04jan2016,Lowell,Massachusetts,25,Middlesex,17,Tsongas Center,
05jan2016,Claremont,New Hampshire,33,Sullivan,19,Stevens High School,1200
07jan2016,Burlington,Vermont,50,Chittenden,7,Flynn Center for the Performing Arts,1400
08jan2016,Rock Hill,South Carolina,45,York,91,Winthrop Coliseum,6500
09jan2016,Ottumwa,Iowa,19,Wapello,179,Bridgeview Center,
09jan2016,Clear Lake,Iowa,19,Cerro Gordo,33,Surf Ballroom,1700
10jan2016,Reno,Nevada,32,Washoe,31,Reno Events Center,4000
11jan2016,Windham,New Hampshire,33,Rockingham,15,Castleton Banquet and Conference Center,600
12jan2016,Cedar Falls,Iowa,19,Black Hawk,13,"West Gymnasium, University of Northern Iowa",2000
13jan2016,Pensacola,Florida,12,Escambia,33,Pensacola Bay Center,10000
15jan2016,Urbandale,Iowa,19,Polk,153,Living History Farms Visitor Center,100
18jan2016,Lynchburg,Virginia,51,Lynchburg city,680,"Vines Center, Liberty University",10000
18jan2016,Concord,New Hampshire,33,Merrimack,13,Concord High School,700
19jan2016,Ames,Iowa,19,Story,169,"Hansen Agriculture Student Learning Center, Iowa State University",2000
20jan2016,Norwalk,Iowa,19,Warren,181,The Wright Place,300
20jan2016,Tulsa,Oklahoma,40,Tulsa,143,"Mabee Center, Oral Roberts University",9000
21jan2016,Las Vegas,Nevada,32,Clark,3,"South Point Hotel, Casino & Spa",3000
23jan2016,Sioux Center,Iowa,19,Sioux,167,"B. J. Haan Auditorium, Dordt College",2600
23jan2016,Pella,Iowa,19,Marion,125,"Douwstra Auditorium, Central College",400
24jan2016,Muscatine,Iowa,19,Muscatine,139,Muscatine High School,1000
25jan2016,Farmington,New Hampshire,33,Strafford,17,Farmington Senior High School,1000
26jan2016,Iowa City,Iowa,19,Johnson,103,"Iowa Field House, University of Iowa",2000
26jan2016,Marshalltown,Iowa,19,Marshall,127,"Roundhouse Gymnasium, Marshalltown High School",2100
27jan2016,Gilbert,South Carolina,45,Lexington,63,The Barn at Harmon's,400
28jan2016,Des Moines,Iowa,19,Polk,153,"Sheslow Auditorium, Drake University",700
29jan2016,Nashua,New Hampshire,33,Hillsborough,11,Radisson Hotel Nashua,850
30jan2016,Clinton,Iowa,19,Clinton,45,Clinton Middle School,1000
30jan2016,Davenport,Iowa,19,Scott,163,Adler Theatre,2400
30jan2016,Dubuque,Iowa,19,Dubuque,61,Dubuque Regional Airport,1200
31jan2016,Council Bluffs,Iowa,19,Pottawattamie,155,Gerald W. Kirn Middle School,2000
01feb2016,Cedar Rapids,Iowa,19,Linn,113,DoubleTree Hotel Cedar Rapids Convention Complex,1500
01feb2016,Waterloo,Iowa,19,Black Hawk,13,Ramada Waterloo Hotel and Convention Center,300
02feb2016,Milford,New Hampshire,33,Hillsborough,11,Hampshire Hills Athletic Club,
03feb2016,Little Rock,Arkansas,5,Pulaski,119,Barton Coliseum,11500
04feb2016,Exeter,New Hampshire,33,Rockingham,15,Exeter Town Hall,
04feb2016,Portsmouth,New Hampshire,33,Rockingham,15,Great Bay Community College,500
